"","original_title","year","Genre","duration","votes"
"275","On the Right Track",1981,"Comedy",97,401
"276","Only When I Laugh",1981,"Comedy",120,1212
"277","Paternity",1981,"Comedy",94,894
"278","Pennies from Heaven",1981,"Drama",108,5122
"279","Play Dead",1983,"Drama",86,267
"280","Polyester",1981,"Comedy",86,6964
"281","Private Lessons",1981,"Comedy",87,3252
"282","The Prowler",1981,"Horror",89,9140
"283","The Pursuit of D.B. Cooper",1981,"Action/Adventure",100,1027
"284","Raggedy Man",1981,"Drama",94,1371
"285","Ragtime",1981,"Drama",155,8614
"286","Raiders of the Lost Ark",1981,"Action/Adventure",115,865510
"287","Reds",1981,"Drama",195,20383
"288","Rich and Famous",1981,"Drama",117,1511
"289","Roar",1981,"Action/Adventure",102,3008
"290","Rollover",1981,"Drama",116,1063
"291","S.O.B.",1981,"Comedy",122,5322
"292","Satan's Mistress",1982,"Horror",98,379
"293","Saturday the 14th",1981,"Comedy",75,3469
"294","Savage Harvest",1981,"Action/Adventure",87,451
"295","Second-Hand Hearts",1980,"Comedy",102,163
"296","Separate Ways",1981,"Drama",92,162
"297","Sharky's Machine",1981,"Action/Adventure",122,5317
"298","Shock Treatment",1981,"Comedy",94,4439
"299","Smokey Bites the Dust",1981,"Action/Adventure",87,245
"300","So Fine",1981,"Comedy",90,999
"301","Some Kind of Hero",1982,"Comedy",97,1353
"302","Southern Comfort",1981,"Action/Adventure",106,15985
"303","St. Helens",1981,"Action/Adventure",90,481
"304","Stripes",1981,"Comedy",106,63926
"305","Student Bodies",1981,"Comedy",86,4269
"306","Subway Riders",1981,"Horror",120,103
"307","Sweet Sixteen",1983,"Horror",88,1401
"308","Take This Job and Shove It",1981,"Comedy",100,721
"309","Taps",1981,"Drama",126,16298
"310","Tarzan the Ape Man",1981,"Action/Adventure",115,5109
"311","Tattoo",1981,"Drama",103,683
"312","Texas Lightning",1981,"Action/Adventure",91,162
"313","They All Laughed",1981,"Comedy",115,2217
"314","Thief",1981,"Action/Adventure",123,24314
"315","Under the Rainbow",1981,"Comedy",98,2519
"316","The Unseen",1980,"Horror",89,1468
"317","Wacko",1982,"Comedy",90,890
"318","Waitress!",1981,"Comedy",88,431
"319","The White Lions",1981,"Drama",97,118
"320","Whose Life Is It Anyway?",1981,"Drama",119,2576
"321","Wolfen",1981,"Horror",115,8873
"322","Zoot Suit",1981,"Drama",103,1048
"323","Ten Violent Women",1982,"Action/Adventure",97,362
"324","24 Hours to Midnight",1985,"Action/Adventure",91,105
"325","48 Hrs.",1982,"Action/Adventure",96,67647
"326","Abuse",1983,"Drama",94,108
"327","The Aftermath",1982,"Sci-Fi/Fantasy",95,572
"328","Airplane II: The Sequel",1982,"Comedy",85,48055
"329","Alley Cat",1984,"Action/Adventure",82,350
"330","Alone in the Dark",1982,"Horror",92,4461
"331","American Taboo",1983,"Drama",94,128
"332","Android",1982,"Sci-Fi/Fantasy",80,2224
"333","Annie",1982,"Comedy",126,39050
"334","Ashes and Embers",1982,"Drama",120,134
"335","Author! Author!",1982,"Comedy",110,4917
"336","Barbarosa",1982,"Western",90,1416
"337","Basket Case",1982,"Comedy",91,15745
"338","The Beach Girls",1982,"Comedy",91,1364
"339","The Beast Within",1982,"Horror",98,3401
"340","Best Friends",1982,"Comedy",116,2538
"341","The Best Little Whorehouse in Texas",1982,"Comedy",114,9622
"342","Blade Runner",1982,"Action/Adventure",117,677998
"343","Blood Song",1982,"Horror",89,429
"344","Boardinghouse",1982,"Comedy",98,625
"345","The Border",1982,"Crime",108,5793
"346","BrainWaves",1982,"Sci-Fi/Fantasy",77,397
"347","Bugs Bunny's 3rd Movie: 1001 Rabbit Tales",1982,"Family",74,1720
"348","Cannery Row",1982,"Comedy",120,3326
"349","Cat People",1982,"Sci-Fi/Fantasy",118,18878
"350","Chan Is Missing",1982,"Drama",80,1021
"351","Chasing Dreams",1982,"Drama",94,188
"352","Cold River",1982,"Action/Adventure",94,138
"353","Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1982,"Comedy",109,3992
"354","The Concrete Jungle",1982,"Crime",99,526
"355","Creepshow",1982,"Comedy",120,41102
"356","Dark Sanity",1982,"Drama",88,162
